订单ID,商品名称,销售额,下单日期,城市
1150,水杯,2542.37,2024-05-29,北京
1151,卫衣,525.91,2024-05-30,北京
1152,卫衣,2731.82,2024-05-31,上海
1153,手机,2975.52,2024-06-01,深圳
1154,卫衣,3752.65,2024-06-02,北京
1155,手机,2215.13,2024-06-03,广州
1156,耳机,725.14,2024-06-04,广州
1157,卫衣,1490.50,2024-06-05,深圳
1158,耳机,1879.10,2024-06-06,广州
1159,手机,3264.99,2024-06-07,深圳
1160,水杯,2896.81,2024-06-08,广州
1161,卫衣,1844.87,2024-06-09,上海
1162,手机,4933.92,2024-06-10,北京
1163,水杯,3068.30,2024-06-11,上海
1164,水杯,1262.41,2024-06-12,北京
1165,耳机,598.73,2024-06-13,北京
1166,手机,849.01,2024-06-14,北京
1167,水杯,1305.19,2024-06-15,上海
1168,卫衣,887.34,2024-06-16,北京
1169,卫衣,1014.18,2024-06-17,上海
1170,耳机,1496.97,2024-06-18,深圳
1171,水杯,949.53,2024-06-19,广州
1172,手机,4494.15,2024-06-20,广州
1173,卫衣,493.15,2024-06-21,北京
1174,水杯,2670.11,2024-06-22,上海
1175,水杯,2110.94,2024-06-23,广州
1176,耳机,4913.66,2024-06-24,上海
1177,卫衣,648.99,2024-06-25,上海
1178,卫衣,2049.49,2024-06-26,北京
1179,手机,4850.41,2024-06-27,广州
1180,卫衣,4340.98,2024-06-28,北京
1181,手机,4103.65,2024-06-29,北京
1182,卫衣,1363.72,2024-06-30,广州
1183,耳机,937.35,2024-07-01,广州
1184,卫衣,3376.35,2024-07-02,深圳
1185,手机,4653.94,2024-07-03,深圳
1186,手机,2828.14,2024-07-04,上海
1187,耳机,2900.90,2024-07-05,广州
1188,卫衣,1471.90,2024-07-06,深圳
1189,卫衣,3870.52,2024-07-07,上海
1190,耳机,1016.51,2024-07-08,上海
1191,卫衣,1686.03,2024-07-09,上海
1192,卫衣,2184.64,2024-07-10,深圳
1193,手机,2587.29,2024-07-11,广州
1194,卫衣,1287.81,2024-07-12,北京
1195,卫衣,662.70,2024-07-13,上海
1196,耳机,3092.04,2024-07-14,深圳
1197,耳机,1514.29,2024-07-15,深圳
1198,水杯,2948.07,2024-07-16,北京
1199,手机,856.38,2024-07-17,北京
1200,卫衣,2457.59,2024-07-18,深圳
1201,卫衣,2709.69,2024-07-19,广州
1202,水杯,353.94,2024-07-20,北京
1203,卫衣,1749.36,2024-07-21,深圳
1204,手机,758.63,2024-07-22,北京
1205,水杯,410.54,2024-07-23,广州
1206,手机,4950.81,2024-07-24,上海
1207,水杯,1679.53,2024-07-25,北京
1208,水杯,4068.38,2024-07-26,广州
1209,耳机,1347.74,2024-07-27,深圳
1210,手机,3439.36,2024-07-28,北京
1211,卫衣,3825.12,2024-07-29,北京
1212,卫衣,3018.63,2024-07-30,深圳
1213,手机,2410.72,2024-07-31,上海
1214,卫衣,2118.02,2024-08-01,深圳
1215,卫衣,1809.45,2024-08-02,北京
1216,手机,4654.69,2024-08-03,深圳
1217,水杯,4170.04,2024-08-04,广州
1218,手机,4828.63,2024-08-05,深圳
1219,水杯,709.06,2024-08-06,北京
1220,卫衣,3681.25,2024-08-07,深圳
1221,卫衣,4697.87,2024-08-08,上海
1222,卫衣,988.04,2024-08-09,深圳
1223,耳机,425.83,2024-08-10,上海
1224,水杯,3731.49,2024-08-11,广州
1225,耳机,2914.92,2024-08-12,上海
1226,耳机,4224.96,2024-08-13,深圳
1227,手机,784.88,2024-08-14,北京
1228,耳机,3996.81,2024-08-15,上海
1229,手机,1087.97,2024-08-16,广州
1230,手机,901.91,2024-08-17,上海
1231,耳机,904.90,2024-08-18,上海
1232,水杯,4091.42,2024-08-19,上海
1233,水杯,3359.47,2024-08-20,广州
1234,水杯,2663.02,2024-08-21,深圳
1235,水杯,1858.27,2024-08-22,上海
1236,水杯,4398.28,2024-08-23,上海
1237,耳机,2022.98,2024-08-24,北京
1238,耳机,4101.34,2024-08-25,广州
1239,卫衣,2251.76,2024-08-26,上海
1240,水杯,1947.03,2024-08-27,广州
1241,耳机,2367.13,2024-08-28,上海
1242,卫衣,1576.75,2024-08-29,深圳
1243,水杯,3763.29,2024-08-30,深圳
1244,手机,2563.33,2024-08-31,上海
1245,卫衣,1237.84,2024-09-01,深圳
1246,耳机,4507.92,2024-09-02,上海
1247,手机,1981.07,2024-09-03,深圳
1248,手机,2763.41,2024-09-04,北京
1249,手机,4541.71,2024-09-05,北京
1250,卫衣,3158.77,2024-09-06,北京
1251,耳机,672.80,2024-09-07,广州
1252,手机,4705.18,2024-09-08,广州
1253,水杯,3175.77,2024-09-09,北京
1254,手机,1741.04,2024-09-10,广州
1255,手机,782.43,2024-09-11,深圳
1256,卫衣,3990.72,2024-09-12,上海
1257,卫衣,3138.36,2024-09-13,上海
1258,耳机,2713.96,2024-09-14,上海
1259,水杯,4480.07,2024-09-15,北京
1260,卫衣,3964.13,2024-09-16,广州
1261,手机,843.21,2024-09-17,深圳
1262,耳机,1627.44,2024-09-18,深圳
1263,手机,1317.60,2024-09-19,北京
1264,手机,3745.34,2024-09-20,深圳
1265,卫衣,264.31,2024-09-21,深圳
1266,耳机,2892.46,2024-09-22,深圳
1267,水杯,3836.05,2024-09-23,深圳
1268,水杯,4396.15,2024-09-24,广州
1269,卫衣,1776.20,2024-09-25,深圳
1270,卫衣,4124.16,2024-09-26,上海
1271,耳机,642.10,2024-09-27,北京
1272,水杯,4247.62,2024-09-28,广州
1273,水杯,724.69,2024-09-29,深圳
1274,水杯,2046.71,2024-09-30,广州
1275,手机,4006.75,2024-10-01,深圳
1276,水杯,834.60,2024-10-02,上海
1277,手机,1223.33,2024-10-03,北京
1278,耳机,3639.04,2024-10-04,深圳
1279,手机,3628.18,2024-10-05,深圳
1280,耳机,3241.62,2024-10-06,深圳
1281,水杯,3500.35,2024-10-07,深圳
1282,水杯,2759.35,2024-10-08,北京
1283,耳机,1333.82,2024-10-09,北京
1284,卫衣,1793.91,2024-10-10,上海
1285,耳机,989.83,2024-10-11,北京
1286,卫衣,4551.41,2024-10-12,深圳
1287,手机,2958.62,2024-10-13,上海
1288,手机,2064.17,2024-10-14,上海
1289,手机,2363.83,2024-10-15,上海
1290,水杯,4741.69,2024-10-16,深圳
1291,手机,851.42,2024-10-17,广州
1292,卫衣,2972.53,2024-10-18,深圳
1293,手机,2578.85,2024-10-19,北京
1294,耳机,3096.13,2024-10-20,北京
1295,耳机,188.74,2024-10-21,深圳
1296,水杯,4373.41,2024-10-22,深圳
1297,耳机,4667.38,2024-10-23,上海
1298,卫衣,2869.15,2024-10-24,深圳
1299,手机,3513.59,2024-10-25,上海
1300,水杯,4620.25,2024-10-26,北京
1301,手机,3565.47,2024-10-27,上海
1302,手机,847.44,2024-10-28,深圳
1303,卫衣,2923.81,2024-10-29,北京
1304,耳机,3072.90,2024-10-30,广州
1305,耳机,2178.24,2024-10-31,上海
1306,手机,3708.58,2024-11-01,北京
1307,水杯,4678.40,2024-11-02,上海
1308,耳机,4635.29,2024-11-03,北京
1309,水杯,2309.11,2024-11-04,北京
1310,耳机,654.87,2024-11-05,上海
1311,水杯,4925.72,2024-11-06,广州
1312,卫衣,4210.60,2024-11-07,北京
1313,水杯,710.85,2024-11-08,北京
1314,卫衣,4612.13,2024-11-09,北京
1315,卫衣,4362.49,2024-11-10,广州
1316,水杯,2642.31,2024-11-11,广州
1317,卫衣,2997.25,2024-11-12,深圳
1318,手机,2055.11,2024-11-13,上海
1319,卫衣,368.33,2024-11-14,广州
1320,耳机,1742.47,2024-11-15,上海
1321,水杯,4033.98,2024-11-16,深圳
1322,手机,122.70,2024-11-17,上海
1323,水杯,1734.15,2024-11-18,广州
1324,耳机,2051.03,2024-11-19,上海
1325,耳机,2733.24,2024-11-20,广州
1326,耳机,4607.29,2024-11-21,上海
1327,卫衣,1797.10,2024-11-22,广州
1328,卫衣,1800.07,2024-11-23,广州
1329,水杯,3713.76,2024-11-24,上海
1330,水杯,2315.87,2024-11-25,深圳
1331,手机,1200.56,2024-11-26,北京
1332,手机,2316.95,2024-11-27,深圳
1333,水杯,790.20,2024-11-28,上海
1334,卫衣,964.30,2024-11-29,深圳
1335,耳机,2542.00,2024-11-30,广州
1336,水杯,2152.73,2024-12-01,北京
1337,手机,4582.74,2024-12-02,上海
1338,卫衣,1875.73,2024-12-03,上海
1339,水杯,2944.88,2024-12-04,上海
1340,水杯,3198.10,2024-12-05,北京
1341,卫衣,164.16,2024-12-06,广州
1342,水杯,3351.33,2024-12-07,上海
1343,卫衣,972.38,2024-12-08,深圳
1344,耳机,4809.24,2024-12-09,上海
1345,卫衣,828.45,2024-12-10,上海
1346,卫衣,2131.66,2024-12-11,上海
1347,卫衣,518.21,2024-12-12,上海
1348,水杯,4984.68,2024-12-13,广州
1349,水杯,2560.76,2024-12-14,深圳
1350,卫衣,3017.39,2024-12-15,广州
1351,水杯,428.67,2024-12-16,深圳
1352,手机,3774.81,2024-12-17,上海
1353,手机,1128.54,2024-12-18,北京
1354,水杯,4500.47,2024-12-19,广州
1355,水杯,1105.18,2024-12-20,北京
1356,卫衣,1034.37,2024-12-21,广州
1357,耳机,279.09,2024-12-22,上海
1358,水杯,2413.13,2024-12-23,广州
1359,手机,2867.72,2024-12-24,上海
1360,卫衣,421.97,2024-12-25,广州
1361,水杯,3900.09,2024-12-26,上海
1362,手机,2321.12,2024-12-27,上海
1363,手机,2669.51,2024-12-28,深圳
1364,耳机,2259.74,2024-12-29,上海
1365,卫衣,2063.74,2024-12-30,深圳
1366,卫衣,2842.24,2024-12-31,上海
1367,耳机,860.68,2025-01-01,北京
1368,耳机,991.45,2025-01-02,上海
1369,卫衣,4322.75,2025-01-03,北京
1370,卫衣,4735.97,2025-01-04,北京
1371,水杯,1929.22,2025-01-05,上海
1372,水杯,1426.65,2025-01-06,北京
1373,耳机,3255.60,2025-01-07,深圳
1374,水杯,2102.80,2025-01-08,广州
1375,手机,224.39,2025-01-09,上海
1376,水杯,865.15,2025-01-10,北京
1377,水杯,3608.26,2025-01-11,上海
1378,手机,3328.73,2025-01-12,深圳
1379,耳机,232.77,2025-01-13,上海
1380,手机,1187.66,2025-01-14,上海
1381,水杯,1232.27,2025-01-15,北京
1382,耳机,3392.27,2025-01-16,深圳
1383,水杯,196.58,2025-01-17,广州
1384,手机,610.13,2025-01-18,广州
1385,手机,4019.59,2025-01-19,北京
1386,水杯,974.87,2025-01-20,上海
1387,卫衣,3298.46,2025-01-21,北京
1388,卫衣,1267.10,2025-01-22,北京
1389,手机,587.26,2025-01-23,北京
1390,手机,1291.54,2025-01-24,上海
1391,卫衣,3639.11,2025-01-25,深圳
1392,卫衣,4292.91,2025-01-26,北京
1393,水杯,4168.08,2025-01-27,上海
1394,水杯,2046.20,2025-01-28,深圳
1395,卫衣,3373.62,2025-01-29,北京
1396,水杯,1104.42,2025-01-30,广州
1397,水杯,1536.42,2025-01-31,深圳
1398,耳机,4492.05,2025-02-01,北京
1399,水杯,163.71,2025-02-02,深圳
1400,手机,518.99,2025-02-03,深圳
1401,水杯,1118.64,2025-02-04,深圳
1402,水杯,230.01,2025-02-05,深圳
1403,卫衣,989.03,2025-02-06,深圳
1404,手机,2956.90,2025-02-07,深圳
1405,水杯,2164.98,2025-02-08,北京
1406,水杯,4474.09,2025-02-09,广州
1407,耳机,4105.47,2025-02-10,上海
1408,水杯,1774.91,2025-02-11,深圳
1409,水杯,1371.17,2025-02-12,上海
1410,耳机,1960.49,2025-02-13,北京
1411,卫衣,2992.45,2025-02-14,深圳
1412,水杯,1413.51,2025-02-15,广州
1413,耳机,3158.33,2025-02-16,上海
1414,手机,2106.12,2025-02-17,深圳
1415,卫衣,2805.03,2025-02-18,北京
1416,手机,2237.02,2025-02-19,广州
1417,手机,1542.88,2025-02-20,上海
1418,耳机,4747.42,2025-02-21,上海
1419,水杯,3841.67,2025-02-22,深圳
1420,耳机,786.55,2025-02-23,广州
1421,耳机,4355.49,2025-02-24,广州
1422,耳机,2488.41,2025-02-25,广州
1423,耳机,4483.31,2025-02-26,广州
1424,卫衣,4019.29,2025-02-27,北京
1425,水杯,2183.55,2025-02-28,广州
1426,手机,210.10,2025-03-01,上海
1427,手机,1416.52,2025-03-02,上海
1428,水杯,2754.01,2025-03-03,北京
1429,手机,3204.04,2025-03-04,上海
1430,水杯,1363.65,2025-03-05,上海
1431,手机,782.84,2025-03-06,广州
1432,耳机,4191.16,2025-03-07,上海
1433,手机,4923.57,2025-03-08,北京
1434,水杯,2675.88,2025-03-09,广州
1435,水杯,941.23,2025-03-10,深圳
1436,水杯,1434.31,2025-03-11,广州
1437,水杯,190.11,2025-03-12,北京
1438,水杯,4580.06,2025-03-13,广州
1439,卫衣,676.98,2025-03-14,广州
1440,卫衣,2924.93,2025-03-15,北京
1441,手机,1442.87,2025-03-16,广州
1442,水杯,2815.47,2025-03-17,北京
1443,手机,3291.96,2025-03-18,北京
1444,水杯,4165.73,2025-03-19,深圳
1445,水杯,1111.46,2025-03-20,上海
1446,卫衣,153.88,2025-03-21,上海
1447,卫衣,770.74,2025-03-22,广州
1448,耳机,4510.09,2025-03-23,广州
1449,卫衣,4382.06,2025-03-24,深圳
1450,耳机,3027.32,2025-03-25,深圳
1451,耳机,3042.53,2025-03-26,深圳
1452,耳机,3358.68,2025-03-27,北京
1453,耳机,959.32,2025-03-28,深圳
1454,耳机,4580.62,2025-03-29,深圳
1455,手机,2151.98,2025-03-30,广州
1456,卫衣,1977.38,2025-03-31,深圳
1457,耳机,2642.70,2025-04-01,北京
1458,水杯,330.13,2025-04-02,北京
1459,卫衣,914.79,2025-04-03,广州
1460,卫衣,3716.36,2025-04-04,深圳
1461,耳机,505.71,2025-04-05,深圳
1462,手机,3055.45,2025-04-06,北京
1463,耳机,1302.21,2025-04-07,深圳
1464,手机,2007.55,2025-04-08,深圳
1465,水杯,1514.60,2025-04-09,深圳
1466,卫衣,1842.80,2025-04-10,上海
1467,水杯,3623.32,2025-04-11,广州
1468,手机,1555.90,2025-04-12,上海
1469,手机,2875.38,2025-04-13,广州
1470,水杯,2432.65,2025-04-14,北京
1471,手机,3351.99,2025-04-15,深圳
1472,水杯,4690.47,2025-04-16,广州
1473,卫衣,3689.60,2025-04-17,上海
1474,水杯,1153.21,2025-04-18,深圳
1475,卫衣,252.80,2025-04-19,北京
1476,水杯,1385.09,2025-04-20,广州
1477,手机,3015.88,2025-04-21,广州
1478,水杯,351.99,2025-04-22,广州
1479,手机,2532.19,2025-04-23,深圳
1480,水杯,3024.53,2025-04-24,上海
1481,水杯,1737.80,2025-04-25,上海
1482,耳机,3877.47,2025-04-26,广州
1483,手机,622.33,2025-04-27,北京
1484,耳机,468.18,2025-04-28,北京
1485,手机,3668.12,2025-04-29,上海
1486,耳机,2527.91,2025-04-30,北京
1487,卫衣,3473.17,2025-05-01,上海
1488,水杯,2230.65,2025-05-02,广州
1489,手机,1307.37,2025-05-03,上海
1490,手机,4113.60,2025-05-04,上海
1491,水杯,4017.14,2025-05-05,广州
1492,手机,3504.01,2025-05-06,北京
1493,手机,1433.51,2025-05-07,上海
1494,耳机,2992.13,2025-05-08,上海
1495,手机,1868.77,2025-05-09,广州
1496,卫衣,548.75,2025-05-10,北京
1497,卫衣,4594.84,2025-05-11,上海
1498,水杯,770.41,2025-05-12,广州
1499,手机,4756.16,2025-05-13,上海
1500,水杯,2285.43,2025-05-14,深圳
1501,卫衣,1007.15,2025-05-15,广州
1502,手机,2755.31,2025-05-16,北京
1503,手机,4377.43,2025-05-17,北京
1504,水杯,3687.90,2025-05-18,北京
1505,卫衣,4052.15,2025-05-19,北京
1506,手机,3328.04,2025-05-20,上海
1507,水杯,3492.16,2025-05-21,上海
1508,卫衣,4261.06,2025-05-22,北京
1509,水杯,1323.37,2025-05-23,北京
1510,耳机,2498.18,2025-05-24,北京
1511,手机,1183.93,2025-05-25,上海
1512,耳机,4939.57,2025-05-26,北京
1513,卫衣,4725.89,2025-05-27,北京
1514,耳机,293.19,2025-05-28,深圳
1515,耳机,3557.32,2025-05-29,深圳
1516,卫衣,4633.72,2025-05-30,北京
1517,水杯,984.82,2025-05-31,广州
1518,耳机,2882.93,2025-06-01,北京
1519,水杯,4585.89,2025-06-02,深圳
1520,耳机,266.34,2025-06-03,广州
1521,水杯,3517.36,2025-06-04,广州
1522,卫衣,1557.01,2025-06-05,北京
1523,耳机,4629.54,2025-06-06,深圳
1524,卫衣,4858.19,2025-06-07,深圳
1525,耳机,4726.91,2025-06-08,广州
1526,卫衣,2423.65,2025-06-09,北京
1527,卫衣,4324.01,2025-06-10,上海
1528,耳机,4238.29,2025-06-11,上海
1529,耳机,1663.59,2025-06-12,深圳
1530,耳机,4161.69,2025-06-13,上海
1531,手机,281.34,2025-06-14,深圳
1532,水杯,3021.72,2025-06-15,深圳
1533,手机,1227.04,2025-06-16,深圳
1534,手机,690.78,2025-06-17,上海
1535,卫衣,477.07,2025-06-18,深圳
1536,耳机,3511.82,2025-06-19,广州
1537,水杯,1765.39,2025-06-20,北京
1538,卫衣,3651.36,2025-06-21,北京
1539,手机,420.25,2025-06-22,深圳
1540,耳机,1644.92,2025-06-23,北京
1541,卫衣,2743.51,2025-06-24,上海
1542,耳机,3974.54,2025-06-25,上海
1543,卫衣,1661.89,2025-06-26,北京
1544,耳机,3166.87,2025-06-27,上海
1545,手机,4441.29,2025-06-28,北京
1546,水杯,3117.73,2025-06-29,北京
1547,手机,1241.50,2025-06-30,北京
1548,水杯,219.56,2025-07-01,深圳
1549,耳机,4363.48,2025-07-02,北京
1550,卫衣,204.22,2025-07-03,深圳
1551,手机,4386.04,2025-07-04,北京
1552,水杯,2691.79,2025-07-05,北京
1553,手机,4701.43,2025-07-06,北京
1554,水杯,4014.04,2025-07-07,上海
1555,手机,4989.88,2025-07-08,深圳
1556,水杯,1818.49,2025-07-09,深圳
1557,水杯,3859.22,2025-07-10,北京
1558,耳机,2069.46,2025-07-11,北京
1559,水杯,2451.39,2025-07-12,上海
1560,耳机,3174.78,2025-07-13,上海
1561,水杯,4381.02,2025-07-14,上海
1562,卫衣,4922.01,2025-07-15,深圳
1563,卫衣,3864.54,2025-07-16,深圳
1564,卫衣,2147.06,2025-07-17,深圳
1565,水杯,2164.65,2025-07-18,北京
1566,耳机,3714.15,2025-07-19,深圳
1567,耳机,1270.01,2025-07-20,广州
1568,水杯,641.32,2025-07-21,广州
1569,卫衣,1837.65,2025-07-22,上海
1570,卫衣,1507.47,2025-07-23,深圳
1571,耳机,1551.91,2025-07-24,广州
1572,卫衣,1244.68,2025-07-25,上海
1573,手机,306.26,2025-07-26,深圳
1574,耳机,187.58,2025-07-27,北京
1575,卫衣,4939.84,2025-07-28,广州
1576,耳机,2196.09,2025-07-29,北京
1577,手机,1983.20,2025-07-30,深圳
1578,耳机,3430.27,2025-07-31,广州
1579,耳机,1169.44,2025-08-01,深圳
1580,耳机,4754.81,2025-08-02,北京
1581,耳机,3953.09,2025-08-03,广州
1582,手机,538.11,2025-08-04,北京
1583,水杯,2146.15,2025-08-05,深圳
1584,耳机,4407.68,2025-08-06,深圳
1585,耳机,4729.19,2025-08-07,北京
1586,卫衣,2390.27,2025-08-08,广州
1587,耳机,3105.72,2025-08-09,北京
1588,卫衣,918.47,2025-08-10,深圳
1589,水杯,4956.73,2025-08-11,北京
1590,手机,1235.19,2025-08-12,深圳
1591,手机,4719.39,2025-08-13,北京
1592,水杯,3283.27,2025-08-14,广州
1593,手机,3077.91,2025-08-15,广州
1594,水杯,2612.17,2025-08-16,北京
1595,水杯,1230.28,2025-08-17,北京
1596,水杯,964.99,2025-08-18,广州
1597,手机,1180.38,2025-08-19,深圳
1598,卫衣,1013.55,2025-08-20,广州
1599,水杯,3919.96,2025-08-21,深圳
1600,耳机,1815.61,2025-08-22,北京
1601,手机,383.43,2025-08-23,北京
1602,水杯,4848.60,2025-08-24,深圳
1603,水杯,4430.55,2025-08-25,北京
1604,耳机,4645.99,2025-08-26,深圳
1605,卫衣,4975.05,2025-08-27,上海
1606,卫衣,952.09,2025-08-28,广州
1607,卫衣,2041.59,2025-08-29,上海
1608,水杯,3815.37,2025-08-30,深圳
1609,水杯,3510.50,2025-08-31,广州
1610,水杯,854.09,2025-09-01,深圳
1611,手机,4097.58,2025-09-02,广州
1612,耳机,1199.76,2025-09-03,广州
1613,水杯,1196.71,2025-09-04,广州
1614,耳机,2731.17,2025-09-05,广州
1615,耳机,3005.41,2025-09-06,深圳
1616,卫衣,2942.42,2025-09-07,广州
1617,手机,548.29,2025-09-08,广州
1618,水杯,4399.56,2025-09-09,上海
1619,卫衣,1401.44,2025-09-10,北京
1620,卫衣,734.62,2025-09-11,北京
1621,水杯,4454.87,2025-09-12,上海
1622,耳机,4782.69,2025-09-13,上海
1623,卫衣,4324.43,2025-09-14,深圳
1624,耳机,4066.63,2025-09-15,深圳
1625,手机,3310.69,2025-09-16,深圳
1626,耳机,2799.20,2025-09-17,上海
1627,手机,526.24,2025-09-18,上海
1628,耳机,2101.42,2025-09-19,广州
1629,卫衣,1926.17,2025-09-20,深圳
1630,卫衣,1372.79,2025-09-21,深圳
1631,手机,3644.76,2025-09-22,深圳
1632,水杯,2529.79,2025-09-23,北京
